position,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season,dpoy,allpro
6,13,3,0,0,0,0,0,11,0,0
6,67,10,3,0,8,3,6,10,0,0
11,4,4,0,0,0,0,0,2,0,0
3,27,12,12,0,1,1,0,4,0,0
6,5,5,0,0,0,0,0,6,0,0
13,37,16,0,0,4,0,1,2,0,0
11,33,22,13,0,0,0,3,14,0,0
6,39,16,0,0,1,0,2,2,0,0
11,56,49,3,0,7,0,1,1,0,0
13,1,0,0,0,0,0,0,4,0,0
4,38,18,9,0,0,0,3,3,0,0
4,36,14,7,0,0,0,2,0,0,0
10,9,8,0,0,0,0,0,7,0,0
11,61,47,12,0,3,0,6,3,0,0
1,24,6,0,0,1,0,0,6,0,0
1,5,0,0,0,0,0,0,6,0,0
3,58,21,40,0,0,0,6,12,0,0
11,29,12,15,0,1,0,0,6,0,0
1,4,0,0,0,0,0,0,7,0,0
3,11,23,7,0,0,0,0,0,0,0
13,35,8,0,0,6,0,4,0,0,0
4,25,11,8,0,0,0,0,9,0,0
3,2,0,0,0,0,0,0,8,0,0
1,55,11,0,0,4,0,0,0,0,0
4,6,7,3,0,0,0,0,11,0,0
11,3,1,0,0,0,0,0,2,0,0
1,6,0,0,0,0,0,0,2,0,0
11,84,52,12,0,1,0,0,0,0,0
6,36,24,0,0,4,0,0,10,0,0
13,57,26,0,0,2,2,4,0,0,0
11,27,17,2,0,0,0,0,2,0,0
4,43,30,22,0,0,0,0,0,0,1
11,28,25,26,0,0,0,6,10,0,0
10,16,15,11,0,0,0,0,3,0,0
1,1,1,0,0,0,0,0,4,0,0
11,104,60,11,0,2,0,0,0,0,1
11,0,1,0,0,0,0,0,1,0,0
1,32,6,0,0,6,2,0,1,0,1
11,75,12,35,0,0,0,4,16,0,0
11,31,13,6,0,0,0,3,0,0,0
1,53,6,0,0,4,2,0,0,0,0
3,25,18,12,0,0,0,0,2,0,0
7,98,34,5,0,2,0,1,6,0,0
7,72,62,14,0,5,2,4,2,0,0
11,38,9,4,0,2,0,0,3,0,0
11,6,0,4,0,0,0,0,15,0,0
6,59,24,3,0,4,2,9,0,0,0
13,90,32,0,0,4,0,0,12,0,0
1,24,11,0,0,1,0,2,0,0,0
13,77,31,8,0,2,0,0,0,0,0
1,17,2,0,0,2,0,0,14,0,0
1,72,6,0,0,20,3,0,15,0,1
3,11,8,3,0,0,0,0,5,0,0
11,41,34,0,0,0,0,0,7,0,0
3,41,20,15,0,0,0,4,7,0,0
3,36,32,18,0,0,0,0,7,0,0
13,13,5,0,0,2,0,0,7,0,0
9,77,47,3,0,0,0,2,15,0,0
4,24,40,10,0,0,0,0,0,0,0
10,27,28,13,0,3,0,4,0,0,0
3,57,30,42,5,2,3,22,0,0,0
3,9,4,0,0,1,0,0,5,0,0
4,40,29,22,0,0,0,0,11,0,0
3,53,31,29,0,0,0,16,0,0,0
11,0,1,0,0,0,0,0,2,0,0
13,82,20,0,0,2,0,0,3,0,0
8,29,11,0,0,3,0,0,16,0,0
13,9,4,0,0,2,0,0,2,0,0
3,13,3,4,0,0,0,0,11,0,0
11,7,7,0,0,0,0,0,3,0,0
13,29,29,0,0,2,0,0,0,0,0
3,50,9,11,0,1,0,4,8,0,0
10,10,10,0,0,0,0,0,0,0,0
12,82,25,8,0,0,0,0,0,0,0
13,5,0,4,0,0,0,0,2,0,0
4,24,9,8,0,0,0,0,0,0,0
1,88,22,4,0,7,2,2,4,0,0
3,6,7,3,0,0,0,0,2,0,0
8,51,23,27,0,2,2,4,0,0,0
11,4,5,3,0,0,0,0,4,0,0
11,7,5,0,0,0,0,0,9,0,0
1,15,2,0,0,2,0,0,0,0,0
4,1,2,0,0,0,0,0,4,0,0
3,2,1,0,0,0,0,0,6,0,0
11,4,5,4,0,0,0,0,2,0,0
9,57,17,7,0,0,0,2,9,0,0
13,57,17,0,0,2,0,0,1,0,0
6,82,25,2,0,4,2,10,11,0,0
3,2,2,0,0,0,0,0,6,0,0
4,14,4,4,0,0,0,2,1,0,0
7,90,42,3,0,4,0,4,0,0,0
3,1,0,0,0,0,0,0,1,0,0
