position,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season,mvp,dpoy,allpro
0,-0.5157316052227914,0.4312663420375862,-0.14613299332957813,-0.10433266889415573,-0.518059154361298,-0.25806681506375445,-0.5133701905360559,-1.0291347031902482,0,0,0
1,1.6872543048289737,-0.5475717179082416,-0.5510442242365082,-0.10433266889415573,1.4059529645008582,-0.25806681506375445,-0.5133701905360559,-1.0291347031902482,0,0,1
2,2.061346251818896,1.0605193805741897,-0.24736080105631067,-0.10433266889415573,3.329965083363014,3.0255681751121113,0.24919764671495906,1.0256514302885804,0,0,0
3,0.19088651686928423,0.7808513634468104,-0.14613299332957813,-0.10433266889415573,-0.518059154361298,-0.25806681506375445,0.24919764671495906,-1.0291347031902482,0,0,0
0,2.310740883145511,4.346618581820897,0.5624616607575496,-0.10433266889415573,4.291971142794092,-0.25806681506375445,0.24919764671495906,-1.0291347031902482,0,0,1
4,-0.8066920084371755,-0.4776547136263967,-0.5510442242365082,-0.10433266889415573,-0.518059154361298,-0.25806681506375445,-0.5133701905360559,2.4640017237237606,0,0,0
0,0.39871537630813003,0.7109343591649655,-0.3485886087830432,-0.10433266889415573,-0.518059154361298,-0.25806681506375445,0.6304815653404666,-1.0291347031902482,0,0,0
3,-0.7651262365494063,-0.6874057264719312,-0.5510442242365082,-0.10433266889415573,-0.518059154361298,-0.25806681506375445,-0.5133701905360559,1.4366086569843461,0,0,0
0,0.3155838325325917,2.6686104790566207,-0.24736080105631067,-0.10433266889415573,-0.518059154361298,-0.25806681506375445,1.011765483965974,1.2311300436364634,0,0,0
1,2.310740883145511,1.340187397701569,-0.24736080105631067,-0.10433266889415573,2.367959023931936,-0.25806681506375445,-0.5133701905360559,-1.0291347031902482,0,0,1
2,0.06618920120597678,0.22151532919205166,0.15755042985061943,-0.10433266889415573,0.44394690506978,-0.25806681506375445,0.24919764671495906,-1.0291347031902482,0,0,0
5,2.0197804799311267,1.8995234319563277,0.25877823757735197,-0.10433266889415573,1.4059529645008582,-0.25806681506375445,0.6304815653404666,1.4366086569843461,0,0,0
5,1.2715965859512823,0.36134933775574135,-0.5510442242365082,-0.10433266889415573,0.44394690506978,3.0255681751121113,1.3930494025914817,-0.41269886314659965,0,0,0
3,-1.0145208678760211,-0.9670737435993106,-0.5510442242365082,-0.10433266889415573,-0.518059154361298,-0.25806681506375445,-0.5133701905360559,-0.41269886314659965,0,0,0
3,1.6041227610534354,-0.6874057264719312,3.1943846616525953,-0.10433266889415573,-0.518059154361298,4.667385670200044,6.34974034472308,-0.6181774764944825,0,0,0
