Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams,Player-additional,Year
ILB,NaVorro Bowman,SFO,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,96.0,2.0,1,AP: 1st Tm,BowmNa99,2012
ILB,Daryl Washington,ARI,26,2,16,16,0,0,0,0,0,0,0,0,0,0,0,108.0,9.0,1,AP: 2nd Tm PFF: 2nd Tm,WashDa99,2012
ILB,London Fletcher,WAS,37,14,16,16,0,0,0,0,0,0,0,0,0,0,0,78.0,3.0,5,AP: 2nd Tm,FletLo20,2012
ILB,Bobby Wagner,SEA,22,Rook,16,15,0,0,0,0,0,0,0,0,0,0,0,87.0,2.0,3,PFF: 2nd Tm,WagnBo00,2012
MLB,Patrick Willis,SFO,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,88.0,0.5,2,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,WillPa98,2012
MLB,Derrick Johnson,KAN,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,109.0,2.0,0,FW: 1st Tm All-Conf. PFF: 1st Tm,JohnDe25,2012
CB,Charles Tillman,CHI,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,75.0,0.0,3,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,TillCh20,2012
CB,Richard Sherman,SEA,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,54.0,1.0,8,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,SherRi00,2012
CB,Casey Hayward,GNB,23,Rook,16,7,0,0,0,0,0,0,0,0,0,0,0,40.0,0.0,6,PFF: 1st Tm,HaywCa00,2012
CB,Champ Bailey,DEN,34,13,16,15,0,0,0,0,0,0,0,0,0,0,0,61.0,0.0,2,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,BailCh00,2012
CB,Antonio Cromartie,NYJ,28,6,16,16,0,0,0,0,0,0,0,0,1,-2,0,30.0,0.0,3,FW: 1st Tm All-Conf. PFF: 2nd Tm,CromAn20,2012
CB,Tim Jennings,CHI,29,6,14,14,0,0,0,0,0,0,0,0,0,0,0,55.0,0.0,9,AP: 2nd Tm,JennTi20,2012
CB,Antoine Winfield,MIN,35,13,16,15,0,0,0,0,0,0,0,0,0,0,0,72.0,0.5,3,PFF: 2nd Tm,WinfAn20,2012
SS,Reshad Jones,MIA,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,73.0,1.0,4,PFF: 2nd Tm,JoneRe99,2012
FS,Devin McCourty,NWE,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,63.0,0.0,5,PFF: 2nd Tm,McCoDe99,2012
S,Earl Thomas,SEA,23,2,16,16,0,0,0,0,0,0,0,0,0,0,0,42.0,0.0,3,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,ThomEa99,2012
S,Jairus Byrd,BUF,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,53.0,0.0,5,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm SN: 1st Tm,ByrdJa99,2012
S,Eric Weddle,SDG,27,5,16,16,0,0,0,0,0,2,10,0,0,0,0,83.0,1.0,3,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm PFF: 1st Tm,WeddEr99,2012
S,Dashon Goldson,SFO,28,5,16,16,0,0,0,0,0,1,31,0,0,0,0,55.0,0.0,3,FW: 1st Tm All-Conf. AP: 1st Tm,GoldDa99,2012
P,Andy Lee,SFO,30,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,LeexAn20,2012
P,Thomas Morstead,NOR,26,3,16,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0,AP: 2nd Tm PFF: 1st Tm SN: 1st Tm,MorsTh00,2012
P,Dustin Colquitt,KAN,30,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,ColqDu20,2012
PR,Leodis McKelvin,BUF,27,4,13,4,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,1,FW: 1st Tm All-Conf. FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,McKeLe99,2012
PR,Dwayne Harris,DAL,25,1,16,0,0,0,0,0,0,0,0,0,17,222,1,2.0,0.0,0,FW: 1st Tm All-Conf.,HarrDw00,2012
KR,Jacoby Jones,BAL,28,5,16,3,0,0,0,0,0,1,6,0,30,406,1,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,JoneJa03,2012
KR,Leon Washington,SEA,30,6,16,0,0,0,0,0,0,23,83,1,4,31,0,0.0,0.0,0,FW: 1st Tm All-Conf.,WashLe00,2012
KR,David Wilson,NYG,21,Rook,16,2,0,0,0,0,0,71,358,4,4,34,1,0.0,0.0,0,AP: 2nd Tm,WilsDa01,2012
ST,Matthew Slater,NWE,27,4,16,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm,SlatMa00,2012
ST,Ashlee Palmer,DET,26,3,16,2,0,0,0,0,0,0,0,0,0,0,0,23.0,0.0,0,PFF: 1st Tm,PalmAs99,2012
ST,Lorenzo Alexander,WAS,29,5,16,0,0,0,0,0,0,0,0,0,0,0,0,34.0,2.5,0,FW: 1st Tm All-Conf.,AlexLo99,2012
ST,Johnson Bademosi,CLE,22,Rook,16,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,0,PFF: 2nd Tm,BadeJo00,2012
PK,Blair Walsh,MIN,22,Rook,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,WalsBl00,2012
PK,Phil Dawson,CLE,37,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm,dawsophi01,2012
QB,Peyton Manning,DEN,37,15,16,16,450,659,5477,55,10,32,-31,1,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,MannPe00,2013
QB,Drew Brees,NOR,34,12,16,16,446,650,5162,39,12,35,52,3,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf.,BreeDr00,2013
QB,Philip Rivers,SDG,32,9,16,16,378,544,4478,32,11,28,72,0,0,-9,0,0.0,0.0,0,PFF: 2nd Tm,RivePh00,2013
RB,LeSean McCoy,PHI,25,4,16,16,0,0,0,0,0,314,1607,9,52,539,2,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,McCoLe01,2013
RB,Jamaal Charles,KAN,27,5,15,15,0,0,0,0,0,259,1287,12,70,693,7,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,CharJa00,2013
RB,Ryan Mathews,SDG,26,3,16,14,0,0,0,0,0,285,1255,6,26,189,1,0.0,0.0,0,FW: 1st Tm All-Conf.,MathRy00,2013
RB,Matt Forte,CHI,28,5,16,16,0,0,0,0,0,289,1339,9,74,594,3,0.0,0.0,0,FW: 1st Tm All-Conf.,FortMa00,2013
RB,Eddie Lacy,GNB,23,Rook,15,15,0,0,0,0,0,284,1178,11,35,257,0,0.0,0.0,0,AP: 2nd Tm,LacyEd00,2013
RB,Adrian Peterson,MIN,28,6,14,14,0,0,0,0,0,279,1266,10,29,171,1,0.0,0.0,0,AP: 2nd Tm,PeteAd01,2013
FB,Mike Tolbert,CAR,28,5,16,13,0,0,0,0,0,101,361,5,27,184,2,1.0,0.0,0,AP: 1st Tm PFF: 2nd Tm,TolbMi00,2013
FB,Anthony Sherman,KAN,25,2,16,8,0,0,0,0,0,2,3,0,18,155,1,11.0,0.0,0,PFF: 1st Tm,SherAn00,2013
FB,Marcel Reece,OAK,28,4,16,15,1,1,22,0,0,46,218,2,32,331,2,0.0,0.0,0,AP: 2nd Tm,ReecMa00,2013
WR,Calvin Johnson,DET,28,6,14,14,0,0,0,0,0,0,0,0,84,1492,12,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,JohnCa00,2013
WR,Josh Gordon,CLE,22,1,14,14,0,0,0,0,0,5,88,0,87,1646,9,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,GordJo02,2013
WR,Antonio Brown,PIT,25,3,16,14,1,1,15,0,0,7,4,0,110,1499,8,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm,BrowAn04,2013
WR,Brandon Marshall,CHI,29,7,16,16,0,0,0,0,0,0,0,0,100,1295,12,0.0,0.0,0,FW: 1st Tm All-Conf. PFF: 1st Tm,MarsBr00,2013
WR,Jordy Nelson,GNB,28,5,16,16,0,0,0,0,0,0,0,0,85,1314,8,0.0,0.0,0,PFF: 1st Tm,NelsJo00,2013
WR,Demaryius Thomas,DEN,26,3,16,16,0,0,0,0,0,0,0,0,92,1430,14,0.0,0.0,0,AP: 2nd Tm,ThomDe03,2013
WR,Anquan Boldin,SFO,33,10,16,16,0,0,0,0,0,2,11,0,85,1179,7,0.0,0.0,0,PFF: 2nd Tm,BoldAn00,2013
WR,Andre Johnson,HOU,32,10,16,16,0,0,0,0,0,0,0,0,109,1407,5,0.0,0.0,0,PFF: 2nd Tm,JohnAn02,2013
WR,A.J. Green,CIN,25,2,16,16,0,0,0,0,0,0,0,0,98,1426,11,0.0,0.0,0,AP: 2nd Tm,GreeA.00,2013
TE,Jimmy Graham,NOR,27,3,16,12,0,0,0,0,0,0,0,0,86,1215,16,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,GrahJi00,2013
TE,Jordan Cameron,CLE,25,2,15,14,0,0,0,0,0,0,0,0,80,917,7,0.0,0.0,0,FW: 1st Tm All-Conf.,CameJo00,2013
TE,Vernon Davis,SFO,29,7,15,15,0,0,0,0,0,0,0,0,52,850,13,0.0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,DaviVe00,2013
LT,Trent Williams,WAS,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,PFF: 2nd Tm,WillTr21,2013
T,Joe Thomas,CLE,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,ThomJo28,2013
T,Joe Staley,SFO,29,6,16,16,0,0,0,0,0,0,0,0,1,14,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm,StalJo20,2013
T,Jason Peters,PHI,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm,PeteJa21,2013
T,Tyron Smith,DAL,23,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 2nd Tm SN: 1st Tm,SmitTy00,2013
T,Branden Albert,KAN,29,5,12,12,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf.,AlbeBr20,2013
G,Evan Mathis,PHI,32,8,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,MathEv20,2013
G,Louis Vasquez,DEN,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,VasqLo20,2013
G,Logan Mankins,NWE,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,MankLo20,2013
G,Marshal Yanda,BAL,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,SN: 1st Tm,YandMa20,2013
G,Josh Sitton,GNB,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,SittJo20,2013
G,Jahri Evans,NOR,30,7,14,14,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 2nd Tm,EvanJa21,2013
C,Ryan Kalil,CAR,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,KaliRy20,2013
C,Alex Mack,CLE,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm,MackAl20,2013
C,Jason Kelce,PHI,26,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,PFF: 1st Tm,KelcJa00,2013
RG,Larry Warford,DET,22,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,PFF: 2nd Tm,WarfLa00,2013
RT,Phil Loadholt,MIN,27,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,PFF: 1st Tm,LoadPh20,2013
RT,Zach Strief,NOR,30,7,15,15,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,PFF: 2nd Tm,StriZa20,2013
DE,J.J. Watt,HOU,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,65.0,10.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,WattJ.00,2013
DE,Robert Quinn,STL,23,2,16,16,0,0,0,0,0,0,0,0,0,0,0,50.0,19.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,QuinRo00,2013
DE,Greg Hardy,CAR,25,3,16,13,0,0,0,0,0,0,0,0,0,0,0,39.0,15.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,HardGr99,2013
DE,Cameron Wake,MIA,31,4,15,15,0,0,0,0,0,0,0,0,0,0,0,29.0,8.5,0,FW: 1st Tm All-Conf.,WakeCa00,2013
DE,Mario Williams,BUF,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,28.0,13.0,0,AP: 2nd Tm,WillMa22,2013
DT,Gerald McCoy,TAM,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,35.0,9.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,McCoGe99,2013
DT,Ndamukong Suh,DET,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,36.0,5.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm,SuhxNd99,2013
DT,Kyle Williams,BUF,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,42.0,10.5,0,SN: 1st Tm,WillKy20,2013
DT,Jurrell Casey,TEN,24,2,15,14,0,0,0,0,0,0,0,0,0,0,0,38.0,10.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,CaseJu00,2013
DT,Dontari Poe,KAN,23,1,15,15,0,0,0,0,0,0,0,0,0,0,0,43.0,4.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,PoexDo00,2013
DT,Muhammad Wilkerson,NYJ,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,43.0,10.5,1,AP: 2nd Tm,WilkMu00,2013
DT,Justin Smith,SFO,34,12,16,16,0,0,0,0,0,0,0,0,0,0,0,32.0,6.5,0,AP: 2nd Tm,SmitJu20,2013
NT,Marcell Dareus,BUF,23,2,16,14,0,0,0,0,0,0,0,0,0,0,0,46.0,7.5,0,PFF: 1st Tm,DareMa00,2013
OLB,Robert Mathis,IND,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,44.0,19.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,MathRo20,2013
